Date,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
03/01/2020,3,0,3,0,0
03/02/2020,5,0,3,0,0
03/03/2020,6,0,3,0,0
03/04/2020,28,0,3,0,0
03/05/2020,30,0,3,0,0
03/06/2020,31,0,3,0,0
03/07/2020,34,0,3,0,0
03/08/2020,39,0,3,0,0
03/09/2020,48,0,3,0,0
03/10/2020,63,1,4,0,0
03/11/2020,71,0,4,0,0
03/12/2020,81,0,4,1,1
03/13/2020,91,6,10,0,1
03/14/2020,102,0,10,1,2
03/15/2020,112,3,13,0,2
03/16/2020,126,1,14,0,2
03/17/2020,146,1,15,1,3
03/18/2020,171,0,15,0,3
03/19/2020,198,5,20,1,4
03/20/2020,256,3,23,0,4
03/21/2020,334,0,23,0,4
03/22/2020,403,0,23,3,7
03/23/2020,497,2,25,2,9
03/24/2020,571,15,40,1,10
03/25/2020,657,3,43,1,11
03/26/2020,730,7,50,5,16
03/27/2020,883,25,75,3,19
03/28/2020,1019,10,85,5,24
03/29/2020,1139,17,102,3,27
03/30/2020,1326,35,137,14,41
03/31/2020,1635,13,150,6,47
04/01/2020,2059,19,169,6,53
04/02/2020,2545,22,191,16,69
04/03/2020,3105,39,230,14,83
04/04/2020,3684,56,286,13,96
04/05/2020,4293,43,329,22,118
04/06/2020,4777,65,394,16,134
04/07/2020,5350,75,469,27,161
04/08/2020,5915,96,565,20,181
04/09/2020,6728,70,635,46,227
04/10/2020,7599,151,786,22,249
04/11/2020,8453,186,972,41,290
04/12/2020,9211,114,1086,42,332
04/13/2020,10454,112,1198,27,359
04/14/2020,11485,167,1365,37,396
04/15/2020,12371,144,1509,27,423
04/16/2020,13432,258,1767,26,449
04/17/2020,14354,273,2040,38,487
04/18/2020,15725,426,2466,35,522
04/19/2020,17305,388,2854,38,560
04/20/2020,18544,419,3273,33,593
04/21/2020,20081,703,3976,53,646
04/22/2020,21373,394,4370,36,682
04/23/2020,23040,642,5012,40,722
04/24/2020,24448,484,5496,59,781
04/25/2020,26283,442,5938,44,825
04/26/2020,27890,585,6523,56,881
04/27/2020,29458,580,7103,58,939
04/28/2020,31360,636,7739,69,1008
04/29/2020,33065,690,8429,71,1079
04/30/2020,34866,630,9059,75,1154
05/01/2020,37262,962,10021,77,1231
05/02/2020,39826,831,10852,92,1323
05/03/2020,42778,911,11763,140,1463
05/04/2020,46434,1082,12845,103,1566
05/05/2020,49405,1295,14140,128,1694
05/06/2020,53007,1161,15301,91,1785
05/07/2020,56351,1475,16776,104,1889
05/08/2020,59690,1111,17887,97,1986
05/09/2020,62865,1414,19301,115,2101
05/10/2020,67176,1669,20970,112,2213
05/11/2020,70768,1579,22549,81,2294
05/12/2020,74330,1905,24454,120,2414
05/13/2020,78056,1963,26417,137,2551
05/14/2020,82047,1594,28011,97,2648
05/15/2020,85855,2234,30245,104,2752
05/16/2020,90649,4012,34257,120,2872
05/17/2020,95698,2538,36795,152,3024
05/18/2020,100326,2482,39277,131,3155
05/19/2020,106480,3032,42309,146,3301
05/20/2020,112200,3113,45422,134,3435
05/21/2020,118223,3131,48553,148,3583
05/22/2020,124759,3280,51833,142,3725
05/23/2020,131424,2576,54409,142,3867
05/24/2020,138537,3285,57694,156,4023
05/25/2020,144951,3012,60706,150,4173
05/26/2020,150858,3585,64291,173,4346
05/27/2020,158104,3434,67725,188,4534
05/28/2020,165358,3171,70896,176,4710
05/29/2020,173496,11735,82631,269,4979
05/30/2020,181860,4303,86934,205,5184
05/31/2020,190649,4928,91862,222,5406
06/01/2020,198372,3882,95744,201,5607
06/02/2020,207187,4531,100275,222,5829
06/03/2020,216876,3789,104064,259,6088
06/04/2020,226723,4390,108454,274,6362
06/05/2020,236195,4770,113224,286,6648
06/06/2020,246603,5433,118657,297,6945
06/07/2020,257485,5191,123848,261,7206
06/08/2020,266021,5171,129019,271,7477
06/09/2020,276002,5634,134653,272,7749
06/10/2020,287158,6275,140928,358,8107
06/11/2020,298293,6044,146972,394,8501
06/12/2020,309599,7263,154235,388,8889
06/13/2020,321638,8092,162327,309,9198
06/14/2020,333043,7358,169685,324,9522
06/15/2020,343075,10639,180324,396,9918
06/16/2020,354161,7226,187550,2004,11922
06/17/2020,367269,6890,194440,341,12263
06/18/2020,381098,10741,205181,343,12606
06/19/2020,395838,9029,214210,364,12970
06/20/2020,411753,13974,228184,308,13278
06/21/2020,426904,9075,237259,426,13704
06/22/2020,440464,10879,248138,312,14016
06/23/2020,456120,10462,258600,468,14484
